Category,Product Code,Material Description,Pack Size / Volume,MRP,CTP,Saarthi,TP,Slab,Qty in Slab (Tests),Price / Kit (₹),Price / Test (₹)
MeriScreen HIV,RPDHIV-01,MeriScreen HIV,50 Tests,"4,610","1,285","1,060",–,Regular,No Slab,900,18
MeriScreen HIV,RPDHIV-01,MeriScreen HIV,50 Tests,"4,610","1,285","1,060",–,Slab 1,"2,500",875,17.5
MeriScreen HIV,RPDHIV-01,MeriScreen HIV,50 Tests,"4,610","1,285","1,060",–,Slab 2,"5,000",800,16
MeriScreen HIV,RPDHIV-01,MeriScreen HIV,50 Tests,"4,610","1,285","1,060",–,Slab 3,"7,500",775,15.5
MeriScreen HIV,RPDHIV-01,MeriScreen HIV,50 Tests,"4,610","1,285","1,060",–,Slab 4,"12,500",750,15
MeriScreen HCV,RPDHCV-01,MeriScreen HCV,50 Tests,"4,800","1,355","1,120",–,Regular,No Slab,950,19
MeriScreen HCV,RPDHCV-01,MeriScreen HCV,50 Tests,"4,800","1,355","1,120",–,Slab 1,"2,500",875,17.5
MeriScreen HCV,RPDHCV-01,MeriScreen HCV,50 Tests,"4,800","1,355","1,120",–,Slab 2,"5,000",800,16
MeriScreen HCV,RPDHCV-01,MeriScreen HCV,50 Tests,"4,800","1,355","1,120",–,Slab 3,"10,000",775,15.5
MeriScreen HCV,RPDHCV-01,MeriScreen HCV,50 Tests,"4,800","1,355","1,120",–,Slab 4,"18,000",750,15
MeriScreen HBsAg,RPDHBV-01,MeriScreen HBsAg,50 Tests,"1,930",715,590,–,Regular,No Slab,500,10
MeriScreen HBsAg,RPDHBV-01,MeriScreen HBsAg,50 Tests,"1,930",715,590,–,Slab 1,"5,000",475,9.5
MeriScreen HBsAg,RPDHBV-01,MeriScreen HBsAg,50 Tests,"1,930",715,590,–,Slab 2,"10,000",450,9
MeriScreen HBsAg,RPDHBV-01,MeriScreen HBsAg,50 Tests,"1,930",715,590,–,Slab 3,"20,000",437.5,8.75
MeriScreen HBsAg,RPDHBV-01,MeriScreen HBsAg,50 Tests,"1,930",715,590,–,Slab 4,"35,000",425,8.5
MeriScreen HIV+Syphilis,RPDVIB-01,MeriScreen HIV + Syphilis,50 Tests,"7,000","1,785","1,470",–,Regular,No Slab,"1,250",25
MeriScreen HIV+Syphilis,RPDVIB-01,MeriScreen HIV + Syphilis,50 Tests,"7,000","1,785","1,470",–,Slab 1,"1,000","1,100",22
MeriScreen HIV+Syphilis,RPDVIB-01,MeriScreen HIV + Syphilis,50 Tests,"7,000","1,785","1,470",–,Slab 2,"5,000","1,075",21.5
MeriScreen HIV+Syphilis,RPDVIB-01,MeriScreen HIV + Syphilis,50 Tests,"7,000","1,785","1,470",–,Slab 3,"10,000","1,050",21
Meriscreen Sickle Cell,RPDSCT-01,MeriScreen Sickle Cell Test,25 Test,"8,400","6,250","5,400",–,Slab 1,No Slab,"5,000",200
Meriscreen Malaria Pf/Pv,RPDMFV-01,Malaria Pf/Pv,30 Test,"6,380",685,565,–,Regular,No Slab,480,16
Meriscreen Malaria Pf/Pv,RPDMFV-01,Malaria Pf/Pv,30 Test,"6,380",685,565,–,Slab 1,"15,000",450,15
Meriscreen Malaria Pf/Pv,RPDMFV-01,Malaria Pf/Pv,30 Test,"6,380",685,565,–,Slab 2,"25,000",420,14
Meriscreen Malaria Pf/Pv,RPDMFV-01,Malaria Pf/Pv,30 Test,"6,380",685,565,–,Slab 3,"50,000",405,14
Meriscreen Malaria Pf/Pan,RPDMFP-01,Malaria Pf/Pan,30 Test,"5,910",770,635,–,Regular,No Slab,540,18
Meriscreen Malaria Pf/Pan,RPDMFP-01,Malaria Pf/Pan,30 Test,"5,910",770,635,–,Slab 1,"15,000",510,17
Meriscreen Malaria Pf/Pan,RPDMFP-01,Malaria Pf/Pan,30 Test,"5,910",770,635,–,Slab 2,"25,000",480,16
Meriscreen Malaria Pf/Pan,RPDMFP-01,Malaria Pf/Pan,30 Test,"5,910",770,635,–,Slab 3,"50,000",450,15
Meriscreen Malaria Pan,RPDMPN-01,Malaria Pan,30 Test,"5,910",685,565,–,Regular,No Slab,480,16
Meriscreen Dengue Onset,RPDDON-01,Dengue Onset,10 Test,"11,760","1,215","1,000",–,Regular,No Slab,850,85
Meriscreen Dengue Onset,RPDDON-01,Dengue Onset,10 Test,"11,760","1,215","1,000",–,Slab 1,"5,000",800,80
Meriscreen Dengue Onset,RPDDON-01,Dengue Onset,10 Test,"11,760","1,215","1,000",–,Slab 2,"15,000",780,78
Meriscreen Dengue Onset,RPDDON-01,Dengue Onset,10 Test,"11,760","1,215","1,000",–,Slab 3,"25,000",750,75
Meriscreen Dengue Onset,RPDDON-01,Dengue Onset,10 Test,"11,760","1,215","1,000",–,Slab 4,"50,000",700,70
Meriscreen Dengue NS1,RPDDAG-01,Dengue NS1,10 Test,"8,230",785,645,–,Regular,No Slab,550,55
Meriscreen Dengue NS1,RPDDAG-01,Dengue NS1,10 Test,"8,230",785,645,–,Slab 1,"5,000",400,40
Meriscreen Dengue NS1,RPDDAG-01,Dengue NS1,10 Test,"8,230",785,645,–,Slab 2,"10,000",380,38
Meriscreen Dengue NS1,RPDDAG-01,Dengue NS1,10 Test,"8,230",785,645,–,Slab 3,"15,000",350,35
Meriscreen Dengue IgG/IgM,RPDDAB-01,Dengue IgG/IgM,20 Test,"10,680","1,655","1,365",–,Regular,No Slab,"1,160",58
Meriscreen Dengue IgG/IgM,RPDDAB-01,Dengue IgG/IgM,20 Test,"10,680","1,655","1,365",–,Slab 1,"5,000",700,35
Meriscreen Dengue IgG/IgM,RPDDAB-01,Dengue IgG/IgM,20 Test,"10,680","1,655","1,365",–,Slab 2,"10,000",640,32
Meriscreen Dengue IgG/IgM,RPDDAB-01,Dengue IgG/IgM,20 Test,"10,680","1,655","1,365",–,Slab 3,"15,000",600,30
Meriscreen HIV 4th Generation,RPDHIV-03,HIV 4th Generation,50 Test,"7,850","3,300","3,000",–,Regular,No Slab,"2,750",55
Meriscreen HIV 4th Generation,RPDHIV-03,HIV 4th Generation,50 Test,"7,850","3,300","3,000",–,Slab 1,"1,000","2,650",53
Meriscreen HIV 4th Generation,RPDHIV-03,HIV 4th Generation,50 Test,"7,850","3,300","3,000",–,Slab 2,"2,500","2,500",50
Meriscreen HIV 4th Generation,RPDHIV-03,HIV 4th Generation,50 Test,"7,850","3,300","3,000",–,Slab 3,"5,000","2,400",48
Meriscreen HBsAg Advance,RDHBWB-01,HBsAg Advance,50 Test,"2,730","1,570","1,295",–,Regular,No Slab,"1,100",22
Meriscreen HBsAg Advance,RDHBWB-01,HBsAg Advance,50 Test,"2,730","1,570","1,295",–,Slab 1,"1,000","1,050",21
Meriscreen HBsAg Advance,RDHBWB-01,HBsAg Advance,50 Test,"2,730","1,570","1,295",–,Slab 2,"2,500",950,19
Meriscreen HBsAg Advance,RDHBWB-01,HBsAg Advance,50 Test,"2,730","1,570","1,295",–,Slab 3,"5,000",850,17